model,benchmark,prompt_id,config_A,config_B,exact_match,first_divergence_pos,token_mismatch_rate,edit_distance,correctness_flip
gemma-2-2b,piqa,35,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,36,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,37,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,38,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,39,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,40,float32,float16,False,4,0.5,15,False
gemma-2-2b,piqa,41,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,42,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,43,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,44,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,45,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,46,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,47,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,48,float32,float16,False,7,0.5,14,False
gemma-2-2b,piqa,49,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,50,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,51,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,52,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,53,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,54,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,55,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,56,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,57,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,58,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,59,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,60,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,61,float32,float16,False,4,0.5,15,False
gemma-2-2b,piqa,62,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,63,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,64,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,65,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,66,float32,float16,False,9,0.5,10,False
gemma-2-2b,piqa,67,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,68,float32,float16,False,6,0.5,10,False
gemma-2-2b,piqa,69,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,70,float32,float16,False,4,0.5,15,False
gemma-2-2b,piqa,71,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,72,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,73,float32,float16,False,8,0.5,13,False
gemma-2-2b,piqa,74,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,75,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,76,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,77,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,78,float32,float16,False,8,0.5,13,False
gemma-2-2b,piqa,79,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,80,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,81,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,82,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,83,float32,float16,False,4,0.5,14,False
gemma-2-2b,piqa,84,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,85,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,86,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,87,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,88,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,89,float32,float16,False,9,0.5,11,False
gemma-2-2b,piqa,90,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,91,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,92,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,93,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,94,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,95,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,96,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,97,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,98,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,99,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,100,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,101,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,102,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,103,float32,float16,False,6,0.5,6,False
gemma-2-2b,piqa,104,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,105,float32,float16,False,5,0.5,13,False
gemma-2-2b,piqa,106,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,107,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,108,float32,float16,False,6,0.5,14,False
gemma-2-2b,piqa,109,float32,float16,False,6,0.5,14,False
gemma-2-2b,piqa,110,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,111,float32,float16,False,7,0.5,9,False
gemma-2-2b,piqa,112,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,113,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,114,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,115,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,116,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,117,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,118,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,119,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,120,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,121,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,122,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,123,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,124,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,125,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,126,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,127,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,128,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,129,float32,float16,False,6,0.5,14,False
gemma-2-2b,piqa,130,float32,float16,False,6,0.5,5,False
gemma-2-2b,piqa,131,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,132,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,133,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,134,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,135,float32,float16,False,7,0.5,14,False
gemma-2-2b,piqa,136,float32,float16,False,3,0.5,16,False
gemma-2-2b,piqa,137,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,138,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,139,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,140,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,141,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,142,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,143,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,144,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,145,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,146,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,147,float32,float16,False,6,0.5,9,False
gemma-2-2b,piqa,148,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,149,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,150,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,151,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,152,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,153,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,154,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,155,float32,float16,False,7,0.5,9,False
gemma-2-2b,piqa,156,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,157,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,158,float32,float16,False,6,0.5,9,False
gemma-2-2b,piqa,159,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,160,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,161,float32,float16,False,8,0.5,13,False
gemma-2-2b,piqa,162,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,163,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,164,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,165,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,166,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,167,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,168,float32,float16,False,8,0.5,13,False
gemma-2-2b,piqa,169,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,170,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,171,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,172,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,173,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,174,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,175,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,176,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,177,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,178,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,179,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,180,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,181,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,182,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,183,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,184,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,185,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,186,float32,float16,False,7,0.5,14,False
gemma-2-2b,piqa,187,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,188,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,189,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,190,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,191,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,192,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,193,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,194,float32,float16,False,9,0.5,10,False
gemma-2-2b,piqa,195,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,196,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,197,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,198,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,199,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,200,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,201,float32,float16,False,8,0.5,13,False
gemma-2-2b,piqa,202,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,203,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,204,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,205,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,206,float32,float16,False,4,0.5,15,False
gemma-2-2b,piqa,207,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,208,float32,float16,False,9,0.5,12,False
gemma-2-2b,piqa,209,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,210,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,211,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,212,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,213,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,214,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,215,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,216,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,217,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,218,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,219,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,220,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,221,float32,float16,False,7,0.5,8,False
gemma-2-2b,piqa,222,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,223,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,224,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,225,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,226,float32,float16,False,7,0.5,9,False
gemma-2-2b,piqa,227,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,228,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,229,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,230,float32,float16,False,9,0.5,9,False
gemma-2-2b,piqa,231,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,232,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,233,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,234,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,235,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,236,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,237,float32,float16,False,3,0.5,15,False
gemma-2-2b,piqa,238,float32,float16,False,8,0.5,9,False
gemma-2-2b,piqa,239,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,240,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,241,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,242,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,243,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,244,float32,float16,False,9,0.5,11,False
gemma-2-2b,piqa,245,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,246,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,247,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,248,float32,float16,False,7,0.5,9,False
gemma-2-2b,piqa,249,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,250,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,251,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,252,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,253,float32,float16,False,5,0.5,15,False
gemma-2-2b,piqa,254,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,255,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,256,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,257,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,258,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,259,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,260,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,261,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,262,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,263,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,264,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,265,float32,float16,False,10,0.5,10,False
gemma-2-2b,piqa,266,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,267,float32,float16,False,7,0.5,9,False
gemma-2-2b,piqa,268,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,269,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,270,float32,float16,False,9,0.5,11,False
gemma-2-2b,piqa,271,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,272,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,273,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,274,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,275,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,276,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,277,float32,float16,False,6,0.5,14,False
gemma-2-2b,piqa,278,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,279,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,280,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,281,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,282,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,283,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,284,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,285,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,286,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,287,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,288,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,289,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,290,float32,float16,False,6,0.5,14,False
gemma-2-2b,piqa,291,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,292,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,293,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,294,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,295,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,296,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,297,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,298,float32,float16,False,7,0.5,9,False
gemma-2-2b,piqa,299,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,300,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,301,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,302,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,303,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,304,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,305,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,306,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,307,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,308,float32,float16,False,8,0.5,13,False
gemma-2-2b,piqa,309,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,310,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,311,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,312,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,313,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,314,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,315,float32,float16,False,9,0.5,11,False
gemma-2-2b,piqa,316,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,317,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,318,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,319,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,320,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,321,float32,float16,False,9,0.5,10,False
gemma-2-2b,piqa,322,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,323,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,324,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,325,float32,float16,False,7,0.5,8,False
gemma-2-2b,piqa,326,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,327,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,328,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,329,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,330,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,331,float32,float16,False,6,0.5,10,False
gemma-2-2b,piqa,332,float32,float16,False,7,0.5,9,False
gemma-2-2b,piqa,333,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,334,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,335,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,336,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,337,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,338,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,339,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,340,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,341,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,342,float32,float16,False,8,0.5,9,False
gemma-2-2b,piqa,343,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,344,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,345,float32,float16,False,7,0.5,9,False
gemma-2-2b,piqa,346,float32,float16,False,7,0.5,14,False
gemma-2-2b,piqa,347,float32,float16,False,8,0.5,13,False
gemma-2-2b,piqa,348,float32,float16,False,10,0.5,10,False
gemma-2-2b,piqa,349,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,350,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,351,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,352,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,353,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,354,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,355,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,356,float32,float16,False,7,0.5,14,False
gemma-2-2b,piqa,357,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,358,float32,float16,False,4,0.5,14,False
gemma-2-2b,piqa,359,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,360,float32,float16,False,6,0.5,10,False
gemma-2-2b,piqa,361,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,362,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,363,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,364,float32,float16,False,8,0.5,9,False
gemma-2-2b,piqa,365,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,366,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,367,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,368,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,369,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,370,float32,float16,False,7,0.5,9,False
gemma-2-2b,piqa,371,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,372,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,373,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,374,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,375,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,376,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,377,float32,float16,False,8,0.5,10,False
gemma-2-2b,piqa,378,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,379,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,380,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,381,float32,float16,False,5,0.5,14,False
gemma-2-2b,piqa,382,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,383,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,384,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,385,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,386,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,387,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,388,float32,float16,False,7,0.5,14,False
gemma-2-2b,piqa,389,float32,float16,False,6,0.5,11,False
gemma-2-2b,piqa,390,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,391,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,392,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,393,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,394,float32,float16,False,6,0.5,12,False
gemma-2-2b,piqa,395,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,396,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,397,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,398,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,399,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,400,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,401,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,402,float32,float16,False,7,0.5,8,False
gemma-2-2b,piqa,403,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,404,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,405,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,406,float32,float16,False,7,0.5,10,False
gemma-2-2b,piqa,407,float32,float16,False,6,0.5,13,False
gemma-2-2b,piqa,408,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,409,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,410,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,411,float32,float16,False,7,0.5,12,False
gemma-2-2b,piqa,412,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,413,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,414,float32,float16,False,8,0.5,12,False
gemma-2-2b,piqa,415,float32,float16,False,7,0.5,11,False
gemma-2-2b,piqa,416,float32,float16,False,7,0.5,13,False
gemma-2-2b,piqa,417,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,418,float32,float16,False,8,0.5,11,False
gemma-2-2b,piqa,419,float32,float16,False,7,0.5,12,False
